UKHAB,Rule
Arable field margins cultivated annually,No
Arable field margins game bird mix,No
Arable field margins pollen and nectar,No
Arable field margins tussocky,No
Cereal crops,No
Winter stubble,No
Horticulture,No
Intensive orchards,No
Non-cereal crops,No
Temporary grass and clover leys,No
Traditional orchards,No
Bracken,No
Floodplain wetland mosaic and CFGM,No
Lowland calcareous grassland,No
Lowland dry acid grassland,No
Lowland meadows,No
Modified grassland,No
Other lowland acid grassland,No
Other neutral grassland,No
Tall herb communities (H6430),No
Upland acid grassland,No
Upland calcareous grassland,No
Upland hay meadows,No
Blackthorn scrub,No
Bramble scrub,No
Gorse scrub,No
Hawthorn scrub,No
Hazel scrub,No
Lowland heathland,No
Mixed scrub,No
Mountain heaths and willow scrub,No
Rhododendron scrub,No
Dunes with sea buckthorn (H2160),No
Other sea buckthorn scrub,No
Willow scrub,No
Upland heathland,No
Aquifer fed naturally fluctuating water bodies,No
Ornamental lake or pond,No
High alkalinity lakes,No
Low alkalinity lakes,No
Marl lakes,No
Moderate alkalinity lakes,No
Peat lakes,No
Ponds (priority habitat),No
Ponds (non-priority habitat),No
Reservoirs,No
Temporary lakes ponds and pools (H3170),No
Calaminarian grasslands,No
Coastal sand dunes,Yes
Coastal vegetated shingle,No
Ruderal/Ephemeral,No
Tall forbs,No
Inland rock outcrop and scree habitats,No
Limestone pavement,Yes
Maritime cliff and slopes,No
Other inland rock and scree,No
Allotments,No
"Artificial unvegetated, unsealed surface",No
Bioswale,No
Intensive green roof,No
Built linear features,No
Cemeteries and churchyards,No
Developed land; sealed surface,No
Other green roof,No
Facade-bound green wall,No
Ground based green wall,No
Ground level planters,No
Biodiverse green roof,No
Introduced shrub,No
Open mosaic habitats on previously developed land,No
Rain garden,No
Actively worked sand pit quarry or open cast mine,No
Sustainable drainage system,No
Unvegetated garden,No
Vacant or derelict land,No
Bare ground,No
Vegetated garden,No
Urban tree,Yes/No
Rural tree,Yes/No
Blanket bog,Yes
Depressions on peat substrates (H7150),No
Fens (upland and lowland),Yes/No
Lowland raised bog,Yes/No
Oceanic valley mire[1] (D2.1),No
Purple moor grass and rush pastures,No
Reedbeds,No
Transition mires and quaking bogs (H7140),No
Felled,Yes/No
Lowland beech and yew woodland,Yes/No
Lowland mixed deciduous woodland,Yes/No
Native pine woodlands,Yes/No
Other coniferous woodland,Yes/No
Other Scot's pine woodland,Yes/No
Other woodland; broadleaved,Yes/No
Other woodland; mixed,Yes/No
Upland birchwoods,Yes/No
Upland mixed ashwoods,Yes/No
Upland oakwood,Yes/No
Wet woodland,Yes/No
Wood-pasture and parkland,Yes/No
Replacement for felled woodland,Yes/No
Coastal lagoons,No
High energy littoral rock,No
"High energy littoral rock - on peat, clay or chalk",No
Moderate energy littoral rock,No
"Moderate energy littoral rock - on peat, clay or chalk",No
Low energy littoral rock,No
"Low energy littoral rock - on peat, clay or chalk",No
Features of littoral rock,No
"Features of littoral rock - on peat, clay or chalk",No
Saltmarshes and saline reedbeds,Yes/No
Artificial saltmarshes and saline reedbeds,Yes/No
Littoral coarse sediment,No
Littoral mud,No
Littoral mixed sediments,No
Littoral seagrass,No
"Littoral seagrass on peat, clay or chalk",No
Littoral biogenic reefs - Mussels,No
Littoral biogenic reefs - Sabellaria,No
Features of littoral sediment,No
Artificial littoral coarse sediment,No
Artificial littoral mud,No
Artificial littoral sand,No
Artificial littoral muddy sand,No
Artificial littoral mixed sediments,No
Artificial littoral seagrass,No
Artificial littoral biogenic reefs,No
Littoral sand,No
Littoral muddy sand,No
Artificial hard structures,No
Artificial features of hard structures,No
Artificial hard structures with integrated greening of grey infrastructure (IGGI),No
Watercourse footprint,No
