ID,New,Label
1. GoodRetained,Good,1. Good
1. GoodCreated,N/A,N/A
2. Fairly GoodRetained,Fairly Good,2. Fairly Good
2. Fairly GoodCreated,N/A,N/A
3. ModerateRetained,Moderate,3. Moderate
3. ModerateCreated,N/A,N/A
4. Fairly PoorRetained,Fairly Poor,4. Fairly Poor
4. Fairly PoorCreated,N/A,N/A
5. PoorRetained,Poor,5. Poor
5. PoorCreated,N/A,N/A
N/ACreated,Good,1. Good
N/ACreated,Fairly Good,2. Fairly Good
N/ACreated,Moderate,3. Moderate
N/ACreated,Fairly Poor,4. Fairly Poor
N/ACreated,Poor,5. Poor
